ORIGIN,Southwest
TOG,0.0
TOL,0.0
TPA,0.30275248078568917
TRI,0.0
TRM,0.0
TTN,0.0
TUL,0.3778629602722441
TUP,0.0
TUS,0.37754850111101007
TVC,0.0
TVF,0.0
TWA,0.0
TWF,0.0
TXK,0.0
TYE,0.0
TYR,0.0
TYS,0.0
UAM,0.0
UGI,0.0
UGS,0.0
UIN,0.0
UKI,0.0
UMT,0.0
UNK,0.0
UST,0.0
UTM,0.0
UTO,0.0
UXI,0.0
UXR,0.0
VAK,0.0
VCT,0.0
VCV,0.0
VDZ,0.0
VEE,0.0
VEL,0.0
VGT,0.0
VIS,0.0
VLD,0.0
VNY,0.0
VPS,0.0
VQS,0.0
VRB,0.0
WAA,0.0
WBB,0.0
WBQ,0.0
WFB,0.0
WHD,0.0
WJF,0.0
WKK,0.0
WLK,0.0
WMO,0.0
WNA,0.0
WRG,0.0
WRI,0.0
WRL,0.0
WSN,0.0
WST,0.0
WSX,0.0
WTK,0.0
WTL,0.0
WWP,0.0
WWT,0.0
XNA,0.005057819567300194
XWA,0.0
YAK,0.0
YIP,0.0
YKM,0.0
YNG,0.0
YUM,0.0
ZXM,0.0
ZXU,0.0
